comentario,Valor,nombreAspecto
se debe mejorar en tener solo un coordinador para cada carrera,Negativo,Percepción General
"nivel de educación, nivel de docentes",Negativo,Docentes
"la calidad de enseñanzas,",Positivo,Percepción General
"la selecciom de los do3ntes, podran ser muy academicws pero qlgunos no tienen metodologia , la malla curricular de r3lleno en cursos como psicoligiq de la felicidad y desarrollo del talento, fqltan cursos externos compemetarios para mi carrera",Positivo,Docentes
ensenanza,Positivo,Estrategia Académica
estamos disgusto de su empeño del profesor jorge rojas con su enseñanza cursamos el 2do ciclo de la carrera ingenieria industrial el codigo de clase es 21036108 queremos su despido o si no cambio de profesor toma examenes sin habernos explicarlo  el tema estamos desatisfecho con su enseñanza academico deja mal parado ala universidad privada del norte lima centro c1,Negativo,Docentes
"la calidad de enseñanza de los docentes, y la bibllioteca",Positivo,Docentes
sus pyectos,Positivo,Estrategia Académica
las clases,Positivo,Estrategia Académica
los conocimientos de los profesores,Positivo,Docentes
la enseñanza,Positivo,Docentes
la calidad de docentes y la infraestructura de la institucion,Positivo,Docentes
"mala coordinación con respecto a la información académica, no te dan opción de horarios por mas que este  con el ponderado mayor de 16, mas facilidad para las personas que trabajan, debería haber un dispersen de agua en los pasillos, las clases deben ser mas dinámicas y menos monótonas y me parece excelente que hagan estas encuestas.",Negativo,Estrategia Académica
la calidad de los profesores,Positivo,Docentes
academico,Negativo,Estrategia Académica
horarios,Negativo,Estrategia Académica
la calidad de enseñanza,Positivo,Estrategia Académica
"mensualidades mas bajas,mejor señal de internet,mejorar pagina laboral para conseguir trabajo y seguir estudiando",Negativo,Percepción General
"la calidad de los profesores , la infraestructura, lo bueno q han mejorado el sistema de matricula",Positivo,Docentes
"falta más variedad de libros 3n la biblioteca, la cafetería en mun pequeña, algunos profesores no suben sus temas a tiempo y el aula virtual debería actualizarse",Negativo,Docentes
la infrestuctura de enseñanza y los profesores.,Positivo,Docentes
"el tema de horarios, hay mucho desorden lo cual causa gran molestia generando problemas sim solucion",Negativo,Estrategia Académica
información entregada al alumno.  igualdad de derechos para todas las sedes   tema administrativo,Negativo,Percepción General
la enseñaza,Negativo,Estrategia Académica
la calidad de profesores,Positivo,Docentes
"faltan áreas de estudio, mejoras en malla curricular, mejora en horarios de clase",Negativo,Estrategia Académica
la metodología se vasallos en exceso a la experiencia del docente y no en aplicaciones científicas  o estudios,Negativo,Estrategia Académica
"el ambiente que hay en la universidad, el trato entre profesor y almumno.",Positivo,Docentes
bueno lo que valoro de la univerdidad rs la enseñanza que nos esta dando y los profesores claro que hay profesores que nos brindan ayuda con el curso y la amistad que se forma,Negativo,Docentes
la exigencia academica en algunas areas,Positivo,Estrategia Académica
"la experiencia que tienen, tanto profesores como el nivel de excelente calidad del servicio que brindan en esta institución",Positivo,Docentes
de las enseñanzas de los docentes,Positivo,Docentes
mas horas de clases y practicas en working adult.,Negativo,Estrategia Académica
los buenos profesores que ha implementado la universidas,Positivo,Docentes
"en este ciclo hubo muchas mejoras en cuanto a calidad de docentes. debería mejorar el aseo y la infraestructura de los baños. las aulas de la biblioteca deberian ser separadas para aliumnos que si puedan aprovecharlas, si en media hora no logran ocuparla quien lo separó, deberia estar nuevamente disponible en el aula virtual. la coordimación del ingles es pesi,a a pesar que los profesores han sido buenos.",Positivo,Docentes
"faltan aras de estudios, mejoras en malla curric ular, horarios flexibles para ciclos mayores, una mejor atencion en la cafeteria, mas espacios libres",Negativo,Estrategia Académica
"mejorar la calidsd de malla curricular , para que se pueda estar a la alturq de grandes universidades",Negativo,Estrategia Académica
en infraestructura (ascensores) y horarios.,Negativo,Estrategia Académica
"mas innovación en el metedo de enseñanza de los profesores, que los ejemplos y temas a tratar esten mas relacionados con la demanda del mercado laboral.",Negativo,Docentes
no me gusta la modalidad de enseñanza ni los salones de practica.,Negativo,Docentes
deben mejorar algumos profesores que son muy patanes y el wifi xq no lleg biem,Negativo,Docentes
los buenos docentes.,Positivo,Docentes
en la calidad de los docentes  en la preparacion del cafetin de como preparan la comida,Negativo,Docentes
"mas computadoras libres, mas opciones de horarios para escoger los curss, mas consesionarios de impresiones, mas visitas tecnicas a empresas, necesitamos que nos acerquen mas a lavrealidad de un trabajador y no solo la teoria",Negativo,Estrategia Académica
la calidad de enseñanza de algunos profesores,Positivo,Docentes
que retornen los horarios de 4 veces por semana,Positivo,Estrategia Académica
debe haber mas  horas practicas para los alumnos.,Negativo,Estrategia Académica
los profesores,Negativo,Percepción General
el sistema educativo,Positivo,Estrategia Académica
su prestigio que me da como estudiante,Positivo,Percepción General
"profesores con mayor experiencia y capacitados. mejorar su estructura en cuanto a mayor ascensores , siemmpre paran llenos, y los baños son sucios y huelen feos",Negativo,Docentes
considero que debería de habe un examen de admision.,Negativo,Estrategia Académica
"la enseñanza de la gran mayoría de docentes, la infraestructura y los implementos tecnológicos.",Positivo,Docentes
orden.,Positivo,Percepción General
"en realidad todo. los profesores,servicio,mala atencion desde la parte administrativa hasta coordinacion.no me siento conforme con lo que pago para lo que me brindan",Negativo,Docentes
"en el ultimo año la cantidad de estudiantes ha aumentado, por lo tanto la infraestructura no abastece. deberían implementar pabellones y áreas de descanso. la calidad de estudiantes es muy buena pero aun existen algunos docentes que no se adecuan al método de enseñanza de la upn.",Negativo,Docentes
haber conocidas personas muy buenas :),Positivo,Percepción General
"autoridad que deben ejercer en alguns estudiantes,sobre todo en los que ponen su musica en el octavo piso esto es una uuversidad no una discoteca deben mejorar eso",Negativo,Percepción General
la exigencia y compromiso de los docentes.,Positivo,Docentes
en los horarios uno no puede trabajar,Negativo,Estrategia Académica
en comparacion con la sede de lima norte falta mejorar la atencion en la hora d ematricula,Negativo,Percepción General
se debería entregar material físico de estudio para el curso.,Negativo,Estrategia Académica
con la docencia profesores sin trato mediocres y encima ausencia de los docentes.,Negativo,Docentes
la buea enseñanza brindad y que siempre esten innovando para el bienestar del estudiante,Positivo,Docentes
organizacion,Positivo,Percepción General
prestigio  infraestructura  calidad,Negativo,Percepción General
horarios  de clases accesible para jovenes que trabajan.,Negativo,Estrategia Académica
"mejor evaluación en docentes, en cuqnto metodología.  cambio de cafeteria del primer piso, urgente.  gracias.",Negativo,Docentes
los estudios,Positivo,Estrategia Académica
la calidad y la exigencia de la enseñanza,Positivo,Docentes
en que deben ser mas seriod en sus horarios y sobre los rectoriales deben ser personal de apoyo para el estudiante y si piden apoyo sentirlo y tenerlo cosa que es un malestar.,Negativo,Percepción General
"en las evaluaciones a los profesores, aparte de la encuesta deben preguntarles de manera directa a los alumnos",Negativo,Docentes
mayor variedad en los horarios,Negativo,Estrategia Académica
"me gusta esta sede, el ambiente es súper cálido",Negativo,Percepción General
aprender,Positivo,Estrategia Académica
